state;state_abbrevation;total_population;black_population;white_population;black_people_killed;white_people_killed;total_people_killed
Alaska;AK;738 516;22 817;450 754;4;24;49
Alabama;AL;4 864 680;1 285 737;3 196 730;59;84;158
Arkansas;AR;2 990 671;458 536;2 173 849;35;67;117
Arizona;AZ;6 946 685;286 614;3 825 886;33;159;392
California;CA;39 148 760;2 164 519;14 695 836;204;368;1348
Colorado;CO;5 531 141;216 732;3 778 212;28;123;272
Connecticut;CT;3 581 504;351 817;2 418 696;9;20;41
District of Columbia;DC;684 498;315 281;248 057;24;1;27
Delaware;DE;949 495;204 665;595 623;10;8;22
Florida;FL;20 598 139;3 167 011;11 196 857;195;282;638
Georgia;GA;10 297 484;3 195 363;5 476 441;121;120;309
Hawaii;HI;1 422 029;24 472;314 536;1;5;40
Iowa;IA;3 132 499;107 471;2 695 888;7;37;51
Idaho;ID;1 687 809;10 739;1 387 654;1;39;57
Illinois;IL;12 821 497;1 796 057;7 894 286;105;53;195
Indiana;IN;6 637 426;610 343;5 275 162;46;85;152
Kansas;KS;2 908 776;163 713;2 214 543;11;54;81
Kentucky;KY;4 440 204;349 407;3 764 082;21;99;140
Louisiana;LA;4 663 616;1 492 230;2 744 265;93;55;173
Massachusetts;MA;6 830 193;463 796;4 930 412;15;29;61
Maryland;MD;6 003 435;1 759 438;3 084 868;87;38;144
Maine;ME;1 332 813;16 990;1 244 525;1;31;35
Michigan;MI;9 957 488;1 360 345;7 489 371;48;64;139
Minnesota;MN;5 527 358;336 505;4 438 071;20;55;94
Missouri;MO;6 090 062;699 730;4 848 330;81;106;230
Mississippi;MS;2 988 762;1 121 752;1 696 952;45;58;120
Montana;MT;1 041 732;4 348;898 953;;36;51
North Carolina;NC;10 155 624;2 146 254;6 433 039;84;123;239
North Dakota;ND;752 201;20 113;639 477;;8;14
Nebraska;NE;1 904 760;88 442;1 512 314;9;24;40
New Hampshire;NH;1 343 622;17 622;1 214 547;;18;21
New Jersey;NJ;8 881 845;1 129 257;4 960 005;55;29;113
New Mexico;NM;2 092 434;38 016;788 308;5;46;164
Nevada;NV;2 922 849;249 967;1 458 093;25;69;147
New York;NY;19 618 453;2 808 679;10 959 534;83;60;179
Ohio;OH;11 641 879;1 418 048;9 220 638;92;125;237
Oklahoma;OK;3 918 137;282 622;2 586 110;55;141;245
Oregon;OR;4 081 943;74 356;3 103 557;9;93;127
Pennsylvania;PA;12 791 181;1 360 576;9 826 865;64;85;192
Rhode Island;RI;1 056 611;59 001;767 727;3;2;6
South Carolina;SC;4 955 925;1 328 352;3 156 973;43;72;134
South Dakota;SD;864 289;15 840;710 810;;12;27
Tennessee;TN;6 651 089;1 107 218;4 924 145;46;126;207
Texas;TX;27 885 195;3 269 253;11 807 263;179;281;804
Utah;UT;3 045 350;33 713;2 394 238;9;64;98
Virginia;VA;8 413 774;1 582 421;5 233 111;58;56;140
Vermont;VT;624 977;7 602;581 023;;10;13
Washington;WA;7 294 336;259 482;5 039 208;30;128;253
Wisconsin;WI;5 778 394;361 909;4 711 038;32;70;130
West Virginia;WV;1 829 054;65 597;1 684 756;11;52;79
Wyoming;WY;581 836;5 149;489 559;;14;23
