victims_age;victims_gender;victims_race;date_of_incident;city;state;cause_of_death;official_disposition_of_death;armed_status;fleeing;symptoms;body_camera;race_of_officers
Unknown;Male;Unknown race;14/10/2021;Banning;CA;Gunshot;Pending investigation;Allegedly Armed;car;No;;
40;Male;Unknown race;13/10/2021;Orangeville;MI;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
37;Male;Unknown race;13/10/2021;Davenport ;IA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
46;Male;Unknown race;13/10/2021;Geary;OK;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unclear;;
Unknown;Unknown;Unknown race;11/10/2021;Greensboro;NC;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
36;Male;Unknown race;11/10/2021;Woodlawn;MD;Gunshot;Pending investigation;Allegedly Armed;car;No;;
32;Male;Unknown race;09/10/2021;Lompoc;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
17;Male;Black;09/10/2021;Austin;TX;Gunshot;Pending investigation;Unclear;foot;No;yes;
22;Male;Unknown race;07/10/2021;Wentzville;MO;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
24;Male;Unknown race;06/10/2021;Rochester;NY;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
55;Male;Hispanic;06/10/2021;Bakersfield;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
23;Male;Unknown race;05/10/2021;Tucson;AZ;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
27;Male;Unknown race;05/10/2021;Greene Township;PA;Gunshot;Pending investigation;Vehicle;car;No;;
Unknown;Male;Unknown race;05/10/2021;Paramount;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
61;Male;Unknown race;04/10/2021;Chicago;IL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
Unknown;Unknown;Unknown race;04/10/2021;Galesburg;MI;Gunshot;Pending investigation;Unclear;;Unclear;;
66;Male;Unknown race;04/10/2021;Walton;NY;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
21;Male;Black;04/10/2021;Las Vegas;NV;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
41;Male;Hispanic;03/10/2021;Las Vegas;NV;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;Unclear;;
41;Male;White;03/10/2021;Wichita;KS;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;yes;
38;Male;White;30/09/2021;Far West Side;TX;Gunshot;Pending investigation;Unclear ;car;Yes;;
41;Male;White;29/09/2021;Middlesboro;KY;Gunshot;Pending investigation;Unclear;;Unclear;;
Unknown;Male;Unknown race;28/09/2021;Los Angeles;CA;Gunshot;Pending investigation;Unclear;;Unclear;;
34;Male;Hispanic;28/09/2021;Anaheim ;CA;Gunshot;Pending investigation;Unclear;;Yes;;
43;Male;Asian;28/09/2021;Hillsborough;NJ;Gunshot;Pending investigation;Unclear;;Unclear;;
18;Female;Hispanic;27/09/2021;Long Beach;CA;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;car;No;;
36;Male;White;27/09/2021;Auburn;ME;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
27;Female;Unknown race;27/09/2021;Allen;TX;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
33;Male;Unknown race;25/09/2021;Decatur;GA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
30;Female;Hispanic;25/09/2021;Delano;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
43;Male;Hispanic;25/09/2021;Huntington Beach ;CA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
36;Female;Unknown race;24/09/2021;Indianapolis;IN;Gunshot;Pending investigation;Allegedly Armed;car;No;yes;
34;Male;Unknown race;23/09/2021;Lancaster;CA;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
40;Male;Unknown race;23/09/2021;McKinney;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
Unknown;Male;Black;23/09/2021;Looxahoma;MS;Gunshot;Pending investigation;Unclear;foot;No;yes;
40;Male;Unknown race;22/09/2021;Chamblee;GA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
49;Male;Hispanic;21/09/2021;Henderson;NV;Gunshot;Pending investigation;Unclear;;No;no;
30;Male;White;21/09/2021;Las Vegas;NV;Gunshot;Pending investigation;Allegedly Armed;;No;no;
42;Male;Hispanic;20/09/2021;Signal Hill;CA;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
30;Male;Black;20/09/2021;Houston;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
47;Male;Unknown race;18/09/2021;West Ashley;SC;Gunshot;Pending investigation;Allegedly Armed;;No;no;White
27;Male;Unknown race;18/09/2021;Smyrna;GA;Gunshot;Pending investigation;Allegedly Armed;;Yes;no;
47;Male;Black;18/09/2021;Nashville;TN;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
34;Male;Unknown race;18/09/2021;Mahoning Township;PA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Male;Unknown race;18/09/2021;Jackson;MS;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Male;Unknown race;18/09/2021;;KY;Gunshot;Pending investigation;Allegedly Armed;;No;no;
