ID Race,Race,ID PUMS Ethnicity Parent,PUMS Ethnicity Parent,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,title,share
1,"White","Hispanic","Hispanic",2019,"2019","true","true",17509916,60388.67171235543,133417,"United States","01000US","united-states","United States",0.11541048995955888
1,"White","Not Hispanic","Not Hispanic",2019,"2019","true","true",93078298,119648.4562866558,998691,"United States","01000US","united-states","United States",0.6134930616904061
2,"Black","Hispanic","Hispanic",2019,"2019","true","true",588829,18631.02697385887,4443,"United States","01000US","united-states","United States",0.003881060502654444
2,"Black","Not Hispanic","Not Hispanic",2019,"2019","true","true",18041929,96462.3005189653,120542,"United States","01000US","united-states","United States",0.11891706766072288
3,"American Indian","Hispanic","Hispanic",2019,"2019","true","true",182084,10440.65461948575,1614,"United States","01000US","united-states","United States",0.0012001430306002791
3,"American Indian","Not Hispanic","Not Hispanic",2019,"2019","true","true",702642,20521.89235736246,7929,"United States","01000US","united-states","United States",0.004631219103858886
4,"Alaska Native","Hispanic","Hispanic",2019,"2019","true","true",1932,1079.1023496914027,21,"United States","01000US","united-states","United States",0.000012734102585179035
4,"Alaska Native","Not Hispanic","Not Hispanic",2019,"2019","true","true",36749,4705.802048290262,619,"United States","01000US","united-states","United States",0.00024221818628506438
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2019,"2019","true","true",98990,7710.197209458954,801,"United States","01000US","united-states","United States",0.0006524579787302654
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2019,"2019","true","true",98102,7686.757023944552,843,"United States","01000US","united-states","United States",0.0006466050371693756
6,"Asian","Hispanic","Hispanic",2019,"2019","true","true",101204,7795.619370773059,1005,"United States","01000US","united-states","United States",0.0006670507857300513
6,"Asian","Not Hispanic","Not Hispanic",2019,"2019","true","true",9351092,72213.21802402059,88859,"United States","01000US","united-states","United States",0.06163445383615269
7,"Native Hawaiian and Other Pacific Islander","Hispanic","Hispanic",2019,"2019","true","true",26665,4007.089294643998,239,"United States","01000US","united-states","United States",0.00017575302558685247
7,"Native Hawaiian and Other Pacific Islander","Not Hispanic","Not Hispanic",2019,"2019","true","true",265356,12633.614560998134,2208,"United States","01000US","united-states","United States",0.0017490013072426335
8,"Other","Hispanic","Hispanic",2019,"2019","true","true",7173946,56255.70940261516,50623,"United States","01000US","united-states","United States",0.047284557093444514
8,"Other","Not Hispanic","Not Hispanic",2019,"2019","true","true",342309,14344.594662914937,2615,"United States","01000US","united-states","United States",0.0022562101044669
9,"Two or More Races","Hispanic","Hispanic",2019,"2019","true","true",1070506,24888.68935161861,9377,"United States","01000US","united-states","United States",0.007055866056961526
9,"Two or More Races","Not Hispanic","Not Hispanic",2019,"2019","true","true",3048034,42337.23754318778,26544,"United States","01000US","united-states","United States",0.020090050537843476
1,"White","Hispanic","Hispanic",2018,"2018","true","true",16881566,59416.39263420698,132041,"United States","01000US","united-states","United States",0.11291501607595462
1,"White","Not Hispanic","Not Hispanic",2018,"2018","true","true",92619676,118374.79145903104,978457,"United States","01000US","united-states","United States",0.6195013071944694
2,"Black","Hispanic","Hispanic",2018,"2018","true","true",535204,17774.25243628733,4304,"United States","01000US","united-states","United States",0.0035797963449549185
2,"Black","Not Hispanic","Not Hispanic",2018,"2018","true","true",17564158,95306.41159198503,122044,"United States","01000US","united-states","United States",0.11748064029904613
3,"American Indian","Hispanic","Hispanic",2018,"2018","true","true",177944,10320.873961239071,1560,"United States","01000US","united-states","United States",0.0011902065022059963
3,"American Indian","Not Hispanic","Not Hispanic",2018,"2018","true","true",678120,20162.015726406036,8259,"United States","01000US","united-states","United States",0.004535712545946647
4,"Alaska Native","Hispanic","Hispanic",2018,"2018","true","true",948,755.9115193988796,10,"United States","01000US","united-states","United States",0.000006340847480619096
4,"Alaska Native","Not Hispanic","Not Hispanic",2018,"2018","true","true",38558,4820.191449691279,613,"United States","01000US","united-states","United States",0.0002579012628245898
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2018,"2018","true","true",108532,8071.235826970609,913,"United States","01000US","united-states","United States",0.0007259333953233668
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2018,"2018","true","true",89526,7343.313685338995,815,"United States","01000US","united-states","United States",0.0005988087674577059
6,"Asian","Hispanic","Hispanic",2018,"2018","true","true",101538,7807.903332434235,951,"United States","01000US","united-states","United States",0.0006791529235096011
6,"Asian","Not Hispanic","Not Hispanic",2018,"2018","true","true",9131947,71399.85815893202,84597,"United States","01000US","united-states","United States",0.061080467434701594
7,"Native Hawaiian and Other Pacific Islander","Hispanic","Hispanic",2018,"2018","true","true",30916,4314.262316740287,253,"United States","01000US","united-states","United States",0.0002067865408341983
7,"Native Hawaiian and Other Pacific Islander","Not Hispanic","Not Hispanic",2018,"2018","true","true",252175,12316.363291804884,2220,"United States","01000US","united-states","United States",0.0016867122504484395
8,"Other","Hispanic","Hispanic",2018,"2018","true","true",6993056,55451.47166078806,50561,"United States","01000US","united-states","United States",0.04677415772091588
8,"Other","Not Hispanic","Not Hispanic",2018,"2018","true","true",336845,14229.757180490047,2641,"United States","01000US","united-states","United States",0.002253040896212172
9,"Two or More Races","Hispanic","Hispanic",2018,"2018","true","true",1020114,24302.790260967384,8924,"United States","01000US","united-states","United States",0.006823193340553026
9,"Two or More Races","Not Hispanic","Not Hispanic",2018,"2018","true","true",2946006,41634.718502596166,26102,"United States","01000US","united-states","United States",0.01970482565716112
1,"White","Hispanic","Hispanic",2017,"2017","true","true",16328399,58854.73662706706,128366,"United States","01000US","united-states","United States",0.11053802391410858
1,"White","Not Hispanic","Not Hispanic",2017,"2017","true","true",92364756,117061.6721604782,964837,"United States","01000US","united-states","United States",0.6252797722268303
2,"Black","Hispanic","Hispanic",2017,"2017","true","true",525460,17610.354133689973,4097,"United States","01000US","united-states","United States",0.0035571956592870798
2,"Black","Not Hispanic","Not Hispanic",2017,"2017","true","true",17157471,94306.46527538694,123092,"United States","01000US","united-states","United States",0.11615057543018299
3,"American Indian","Hispanic","Hispanic",2017,"2017","true","true",152856,9569.61843010083,1483,"United States","01000US","united-states","United States",0.0010347860916073268
3,"American Indian","Not Hispanic","Not Hispanic",2017,"2017","true","true",655693,19827.12823243158,8657,"United States","01000US","united-states","United States",0.004438831297196596
4,"Alaska Native","Hispanic","Hispanic",2017,"2017","true","true",1600,982.0214185186557,20,"United States","01000US","united-states","United States",0.000010831486801772405
4,"Alaska Native","Not Hispanic","Not Hispanic",2017,"2017","true","true",37287,4740.098708175615,687,"United States","01000US","united-states","United States",0.0002524210302360548
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2017,"2017","true","true",83472,7081.488938882149,731,"United States","01000US","united-states","United States",0.0005650786664484664
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2017,"2017","true","true",81170,6992.438010425813,813,"United States","01000US","united-states","United States",0.0005494948648124163
6,"Asian","Hispanic","Hispanic",2017,"2017","true","true",91198,7400.822893575575,896,"United States","01000US","united-states","United States",0.0006173812083425248
6,"Asian","Not Hispanic","Not Hispanic",2017,"2017","true","true",8836986,70302.59619725145,82644,"United States","01000US","united-states","United States",0.0598235607665297
7,"Native Hawaiian and Other Pacific Islander","Hispanic","Hispanic",2017,"2017","true","true",25866,3946.538627417894,234,"United States","01000US","united-states","United States",0.00017510452350915314
7,"Native Hawaiian and Other Pacific Islander","Not Hispanic","Not Hispanic",2017,"2017","true","true",247683,12206.283177896947,2149,"United States","01000US","united-states","United States",0.0016767344659521215
8,"Other","Hispanic","Hispanic",2017,"2017","true","true",7075324,55382.02241248457,51298,"United States","01000US","united-states","United States",0.04789767407766471
8,"Other","Not Hispanic","Not Hispanic",2017,"2017","true","true",332425,14136.165921631553,2589,"United States","01000US","united-states","United States",0.002250410625049495
9,"Two or More Races","Hispanic","Hispanic",2017,"2017","true","true",911673,23013.967328700786,7947,"United States","01000US","united-states","United States",0.006171733791895158
9,"Two or More Races","Not Hispanic","Not Hispanic",2017,"2017","true","true",2808167,40667.86177138374,25285,"United States","01000US","united-states","United States",0.019010389873545506
1,"White","Hispanic","Hispanic",2016,"2016","true","true",15613212,57685.04428629118,123332,"United States","01000US","united-states","United States",0.10738671568912919
1,"White","Not Hispanic","Not Hispanic",2016,"2016","true","true",92001974,115643.04145927519,948734,"United States","01000US","united-states","United States",0.6327839412400637
2,"Black","Hispanic","Hispanic",2016,"2016","true","true",445286,16231.311881944863,3702,"United States","01000US","united-states","United States",0.0030626498303071513
2,"Black","Not Hispanic","Not Hispanic",2016,"2016","true","true",16891348,93611.05067471207,124408,"United States","01000US","united-states","United States",0.11617765680003199
3,"American Indian","Hispanic","Hispanic",2016,"2016","true","true",148296,9425.450753123772,1399,"United States","01000US","united-states","United States",0.00101997080356272
3,"American Indian","Not Hispanic","Not Hispanic",2016,"2016","true","true",636571,19536.872371801634,8201,"United States","01000US","united-states","United States",0.0043782963424146585
4,"Alaska Native","Hispanic","Hispanic",2016,"2016","true","true",1305,886.8869849946467,9,"United States","01000US","united-states","United States",0.000008975710057245978
4,"Alaska Native","Not Hispanic","Not Hispanic",2016,"2016","true","true",36691,4702.066933057781,688,"United States","01000US","united-states","United States",0.00025235845035280626
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2016,"2016","true","true",85723,7175.4870560223535,726,"United States","01000US","united-states","United States",0.0005895975427105724
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2016,"2016","true","true",85589,7180.098218292047,813,"United States","01000US","united-states","United States",0.0005886758989192537
6,"Asian","Hispanic","Hispanic",2016,"2016","true","true",92539,7454.243928015664,920,"United States","01000US","united-states","United States",0.0006364775731704871
6,"Asian","Not Hispanic","Not Hispanic",2016,"2016","true","true",8423059,68734.33893506152,77692,"United States","01000US","united-states","United States",0.0579332838153841
7,"Native Hawaiian and Other Pacific Islander","Hispanic","Hispanic",2016,"2016","true","true",24528,3843.131094385133,229,"United States","01000US","united-states","United States",0.00016870208144377727
7,"Native Hawaiian and Other Pacific Islander","Not Hispanic","Not Hispanic",2016,"2016","true","true",247774,12208.389904408388,2230,"United States","01000US","united-states","United States",0.0017041743936582873
8,"Other","Hispanic","Hispanic",2016,"2016","true","true",6892116,54487.636727126825,50393,"United States","01000US","united-states","United States",0.04740355164513864
8,"Other","Not Hispanic","Not Hispanic",2016,"2016","true","true",309549,13642.197411593586,2465,"United States","01000US","united-states","United States",0.0021290590593949694
9,"Two or More Races","Hispanic","Hispanic",2016,"2016","true","true",850259,22236.60223176585,7520,"United States","01000US","united-states","United States",0.005848029316140926
9,"Two or More Races","Not Hispanic","Not Hispanic",2016,"2016","true","true",2606578,39209.441145390665,23645,"United States","01000US","united-states","United States",0.017927883808119622
1,"White","Hispanic","Hispanic",2015,"2015","true","true",15537807,56475.063990284645,120867,"United States","01000US","united-states","United States",0.10834825894813593
1,"White","Not Hispanic","Not Hispanic",2015,"2015","true","true",91453565,114276.33362782744,943094,"United States","01000US","united-states","United States",0.6377241358674478
2,"Black","Hispanic","Hispanic",2015,"2015","true","true",417149,15715.977960065951,3470,"United States","01000US","united-states","United States",0.002908864029007179
2,"Black","Not Hispanic","Not Hispanic",2015,"2015","true","true",16487667,92579.5203248012,123545,"United States","01000US","united-states","United States",0.11497182411691917
3,"American Indian","Hispanic","Hispanic",2015,"2015","true","true",140793,9184.675715786667,1289,"United States","01000US","united-states","United States",0.0009817779576026977
3,"American Indian","Not Hispanic","Not Hispanic",2015,"2015","true","true",621613,19306.589680230136,8005,"United States","01000US","united-states","United States",0.004334632698779668
4,"Alaska Native","Hispanic","Hispanic",2015,"2015","true","true",903,737.7518571840201,8,"United States","01000US","united-states","United States",0.000006296800946888241
4,"Alaska Native","Not Hispanic","Not Hispanic",2015,"2015","true","true",39280,4865.072480370329,662,"United States","01000US","united-states","United States",0.0002739073545888927
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2015,"2015","true","true",78631,6872.990924936743,676,"United States","01000US","united-states","United States",0.0005483098064836869
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2015,"2015","true","true",80886,6980.151209899048,796,"United States","01000US","united-states","United States",0.0005640343758471786
6,"Asian","Hispanic","Hispanic",2015,"2015","true","true",84539,7125.622094381379,804,"United States","01000US","united-states","United States",0.000589507480895886
6,"Asian","Not Hispanic","Not Hispanic",2015,"2015","true","true",8187500,67808.53295111938,74646,"United States","01000US","united-states","United States",0.05709308721223419
7,"Native Hawaiian and Other Pacific Islander","Hispanic","Hispanic",2015,"2015","true","true",22200,3656.339807140197,190,"United States","01000US","united-states","United States",0.00015480507311286707
7,"Native Hawaiian and Other Pacific Islander","Not Hispanic","Not Hispanic",2015,"2015","true","true",217701,11444.851393373481,2007,"United States","01000US","united-states","United States",0.0015180729379164087
8,"Other","Hispanic","Hispanic",2015,"2015","true","true",6448772,53133.9011758318,47777,"United States","01000US","united-states","United States",0.04496858652919865
8,"Other","Not Hispanic","Not Hispanic",2015,"2015","true","true",273040,12814.232771666784,2198,"United States","01000US","united-states","United States",0.0019039629352584333
9,"Two or More Races","Hispanic","Hispanic",2015,"2015","true","true",830786,21979.83568026809,7276,"United States","01000US","united-states","United States",0.0057932381743759625
9,"Two or More Races","Not Hispanic","Not Hispanic",2015,"2015","true","true",2483321,38286.38568323415,22394,"United States","01000US","united-states","United States",0.017316697701248565
1,"White","Hispanic","Hispanic",2014,"2014","true","true",14988250,55354.08220927422,117143,"United States","01000US","united-states","United States",0.1064289936032612
1,"White","Not Hispanic","Not Hispanic",2014,"2014","true","true",90895244,112419.2653533143,934869,"United States","01000US","united-states","United States",0.6454315441924752
2,"Black","Hispanic","Hispanic",2014,"2014","true","true",428052,15910.564909996468,3386,"United States","01000US","united-states","United States",0.0030395238650184754
2,"Black","Not Hispanic","Not Hispanic",2014,"2014","true","true",15881657,91028.20897948563,122684,"United States","01000US","united-states","United States",0.11277292354091961
3,"American Indian","Hispanic","Hispanic",2014,"2014","true","true",123591,8607.591748777873,1102,"United States","01000US","united-states","United States",0.0008775985020546531
3,"American Indian","Not Hispanic","Not Hispanic",2014,"2014","true","true",603910,19030.407424732144,8112,"United States","01000US","united-states","United States",0.004288261373205375
4,"Alaska Native","Not Hispanic","Not Hispanic",2014,"2014","true","true",35277,4610.581839392252,678,"United States","01000US","united-states","United States",0.00025049592896717396
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Hispanic","Hispanic",2014,"2014","true","true",80212,6941.048898859738,680,"United States","01000US","united-states","United States",0.0005695716601274189
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Not Hispanic","Not Hispanic",2014,"2014","true","true",85371,7170.888692934123,862,"United States","01000US","united-states","United States",0.0006062048346474079
6,"Asian","Hispanic","Hispanic",2014,"2014","true","true",73655,6652.264978177,709,"United States","01000US","united-states","United States",0.0005230115272862545
