state;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
District of Columbia;1049.0;997.1;1004.9;1203.5;1269.1;1242.6;1281.9;1241.8;1202.1;1326.8
Alaska;867.1;891.7;829.0;804.6;730.2;635.5;602.6;604.1;606.5;635.3
New Mexico;832.2;842.8;783.5;699.4;656.1;597.7;596.7;559.6;567.5;588.0
Tennessee;595.2;630.4;651.5;638.5;612.1;610.7;579.7;638.5;608.2;612.0
Arkansas;584.6;561.6;554.9;554.3;521.3;480.2;445.7;469.6;480.9;503.5
Louisiana;549.3;543.3;557.0;565.0;539.7;515.9;510.4;496.3;555.3;555.3
South Carolina;511.3;500.8;506.2;506.8;504.5;497.8;494.8;560.5;571.9;602.2
Alabama;510.8;523.1;524.2;532.4;472.4;427.7;418.1;450.3;420.1;383.7
Missouri;495.0;501.4;530.3;520.8;497.4;443.3;422.0;451.3;447.4;457.7
Nevada;493.8;552.1;555.9;677.9;695.9;635.7;591.2;608.6;562.1;663.0
Arizona;455.3;475.7;508.0;471.0;410.2;392.7;405.8;428.6;405.9;413.6
Maryland;454.1;469.4;500.2;481.7;457.2;448.0;467.8;477.3;494.1;546.3
California;441.2;447.5;449.3;444.8;426.3;396.4;396.2;423.5;411.1;439.6
Michigan;437.4;452.5;450.0;460.9;415.5;429.1;429.8;455.0;453.0;493.0
Oklahoma;431.8;474.6;456.2;455.3;422.0;413.8;428.1;474.4;454.8;481.4
Delaware;422.6;422.5;453.4;510.0;499.0;488.1;479.1;550.5;559.5;623.3
Texas;418.9;412.9;438.9;433.8;412.2;406.7;399.8;408.6;408.5;448.4
Kansas;410.8;441.8;413.0;401.2;389.9;352.6;327.5;356.7;353.9;370.8
Illinois;406.9;411.4;438.8;436.7;383.8;370.9;372.5;416.2;429.3;444.9
Montana;404.9;380.9;377.1;374.1;349.6;328.5;240.7;278.8;267.5;275.8
South Dakota;399.0;396.4;433.6;422.0;383.1;328.3;398.7;323.8;354.1;368.9
Colorado;381.0;401.5;368.1;344.1;321.0;307.8;291.2;307.4;320.2;323.7
Florida;378.4;385.9;408.0;429.4;461.9;458.9;460.0;487.0;515.3;541.3
North Carolina;371.8;356.2;363.7;371.8;347.0;329.1;336.6;353.5;349.8;362.7
Indiana;370.8;373.5;399.0;399.7;387.5;365.3;349.9;344.8;331.8;323.3
New York;358.6;350.8;356.7;374.6;379.7;384.7;389.8;406.3;398.1;394.4
Georgia;340.7;338.9;357.2;390.4;378.3;385.8;359.7;380.0;373.2;402.3
Massachusetts;327.6;340.3;358.0;380.7;390.9;395.1;404.0;407.0;428.4;468.9
West Virginia;316.6;299.9;350.7;362.7;337.9;316.4;289.7;320.1;315.9;301.2
Pennsylvania;306.4;305.4;313.3;315.9;315.1;315.0;326.6;355.5;355.0;366.5
Nebraska;300.9;289.9;205.9;296.8;274.9;276.2;252.2;258.8;253.2;278.3
Washington;293.9;315.3;304.5;303.5;284.4;285.8;277.9;298.1;294.6;313.5
Wisconsin;293.2;299.0;319.9;306.9;305.8;291.1;271.1;283.9;236.9;248.9
Ohio;293.2;294.8;297.5;307.7;291.9;285.7;275.7;301.5;307.4;314.7
Hawaii;285.5;255.0;250.6;241.6;293.4;236.7;245.3;243.0;287.2;264.3
North Dakota;284.6;284.1;281.3;252.1;239.4;270.4;256.3;245.7;247.0;229.5
Oregon;284.4;290.4;281.8;268.8;259.8;259.2;242.9;247.1;247.6;251.4
Mississippi;277.9;266.0;285.7;281.7;275.8;278.3;267.4;260.1;269.8;269.3
Iowa;266.6;263.7;293.4;292.9;286.1;272.8;260.9;265.6;255.6;268.5
Minnesota;236.4;221.2;238.3;241.9;242.6;229.1;223.2;230.9;221.2;235.7
Utah;235.6;239.4;238.9;243.3;236.0;219.5;209.2;208.0;195.0;213.5
Idaho;223.8;239.7;226.4;230.7;215.6;210.4;204.7;209.8;200.9;220.5
Rhode Island;221.1;219.8;232.2;239.1;242.5;219.9;244.6;253.0;247.5;257.4
Wyoming;217.4;213.8;237.5;244.7;222.1;195.4;197.7;201.3;219.3;197.9
Kentucky;217.1;217.9;225.8;235.6;218.7;215.2;198.8;224.9;238.2;243.9
Virginia;208.0;204.2;208.2;219.8;195.6;198.4;187.9;191.5;196.7;214.2
New Jersey;206.9;208.6;228.8;243.5;255.4;260.9;285.6;290.1;308.4;307.5
Puerto Rico;202.9;200.9;232.6;224.4;219.6;237.2;257.8;275.0;284.4;275.3
Vermont;202.2;185.0;165.8;136.5;118.0;102.6;114.9;142.3;135.2;131.0
Connecticut;183.6;209.6;228.0;227.7;218.5;238.5;254.5;283.5;272.8;282.0
New Hampshire;152.5;177.6;198.7;199.8;199.3;197.7;199.6;215.0;188.0;167.4
Maine;115.2;112.0;121.0;124.0;130.1;127.6;121.6;122.4;123.2;122.1
